3556,いわき市,イベント情報,,じゃんがら念仏踊大会,,37.03672176,140.7074394,遠野地区のじゃんがら念仏踊の保存団体が一堂に会し念仏踊りを繰り広げます。楽しいくじ引きなどのイベントもあります。,遠野町商工会:0246-89-2174,,入遠野小学校(いわき市遠野町入遠野字前田142),,,平成28年８月15日（月）,18時15分～21時
3557,大熊町,イベント情報,,のほほんクラブ,,37.48989757,139.928028,内　　容：蒔絵（まきえ）体験(内容変更になる場合があります)<br>開催場所：おおくまサロンゆっくりすっぺ(大熊町役場会津若松出張所内)<br>対　　象：60歳以上の方ならどなたでも<br>定　　員：20人（先着順）<br>費　　用：500円<br>持 ち 物：汚れてもいい服装、水分<br>申込期限：8月19日(金)まで電話にて<br>問 合 せ：大熊町役場会津若松出張所<br>申し込み：福祉課健康介護係(渡辺・新田),0120-26-3844,965-0873,会津若松市追手町2-41,,20160826,,10:00？12:00
3558,大熊町,イベント情報,,おおちゃん小法師絵付け体験,,37.07966073,140.8406442,内　　容：おおちゃん小法師絵付け体験<br>開催場所：大熊町役場いわき出張所 2 階　多目的ホール<br>対　　象：大熊町、富岡町、双葉町、浪江町の65歳以上の方(ただし同伴者は年齢不問)<br>定　　員：20人(大熊町10人程度、他町10人程度)<br>費　　用：無料<br>持 ち 物：汚れてもいい服装、水分<br>申込方法：電話にて<br>申込期限：8月19円(金)まで<br>問 合 せ：大熊町役場いわき出張所  大熊町地域包括支援センター(花房、浜本),0120-26-5671,970-1144,いわき市好間工業団地1-43,,20160823,,13：15～15：00
3559,大熊町,イベント情報,,第２回シルバークッキング,,37.00802717,140.8475697,内　　容：夏の疲れを取るメニュー<br>開催場所：常磐共同ガス  ガスワンキッチンスタジオ「ステラ」いわき市常磐湯本町田渡74-7<br>対　　象：誰でも参加可能<br>定　　員：12人（先着順）<br>費　　用：300円<br>持 ち 物：エプロン、三角巾、水分<br>申込方法：電話にて<br>申込期限：8月26円(金)まで<br>問 合 せ：大熊町役場いわき出張所  大熊町地域包括支援センター(花房、浜本),0120-26-5671,,いわき市常磐湯本町田渡74-7,,20160830,,9：45～13：00
3560,大熊町,イベント情報,,新規事業のご案内 ちょこっと力フェ,,37.07971225,140.8406255,内　　容：ちょこつと力フェ<br>開催場所：大熊町役場いわき出張所 2 階<br>問 合 せ：大熊町役場いわき出張所　健康介護課保健衛生係,0120-26-5671,970-1144,いわき市好間工業団地1-43,,20160810,,13：30～15：00
3561,大熊町,イベント情報,,新規事業のご案内 ふらっと力フェ,,37.48984853,139.9281567,内　　容：ちょこつと力フェ<br>開催場所：大熊町役場会津若松出張所 2 階　ほっとルーム<br>問 合 せ：大熊町役場会津若松出張所　福祉課健康介護係,0120-26-3844,965-0873,会津若松市追手町2-41,,20160810,,13：30～15：00
3562,大熊町,イベント情報,,さびないカラダづくり,,37.07972064,140.8406818,内　　容：カラダを動かして気分リフレッシュ(講師：J ヴィレッジフィットネスクラブスタッフ)<br>開催場所：大熊町役場いわき出張所 2 階 多目的ホール<br>対　　象：どなたでも<br>持 ち 物：動きやすい服装と室内履き、水分<br>申込方法：電話で（当円参加も可能）<br>問 合 せ：大熊町役場いわき出張所 健康介護課保健衛生係<br>,0120-26-5671,970-1144,いわき市好間工業団地1-43,,20160825,,10：00～11：30
3563,大熊町,イベント情報,,出前！健康講座,,36.95168143,140.8537656,内　　容：コツ骨実践～栄養士によるお話と試食会～<br>開催場所：いわき市立泉公民館 2 階(いわき市泉町四丁目13-11)<br>対　　象：どなたでも<br>申込方法：電話にて<br>問 合 せ：大熊町役場いわき出張所　健康介護課保健衛生係,0120-26-5671,970-1144,いわき市泉町四丁目13-11,,20160831,,10：00～11：30
3564,大熊町,イベント情報,,子育てひろば,,37.0796864,140.8408105,内　　容：自由遊び、ダンス、絵本の読み聞かせ、身長・体重測定、離乳食や育児について個別相談もできます<br>開催場所：大熊町役場いわき出張所 2 階<br>対　　象：未就学児とその親、祖父母<br>持 ち 物：水分、おむつ等<br>申込方法：不要<br>問 合 せ：大熊町役場いわき出張所　健康介護課保健衛生係,0120-26-5671,970-1144,大熊町役場いわき出張所2階,,20160809,,9：30～11：30
3565,いわき市,イベント情報,,子安観音堂祭典,,37.12795868,140.7174467,子安観音堂でのじゃんがら念仏法要などを行います。,中寺区長 草野様:090-1061-4302,,西福寺(いわき市三和町中寺字宿),,,平成28年８月15日（月）,19時～
3566,大熊町,イベント情報,,子育てひろば,,37.07947139,140.8405852,内　　容：自由遊び、ダンス、絵本の読み聞かせ、身長・体重測定、離乳食や育児について個別相談もできます<br>開催場所：大熊町役場いわき出張所 2 階<br>対　　象：未就学児とその親、祖父母<br>持 ち 物：水分、おむつ等<br>申込方法：不要<br>問 合 せ：大熊町役場いわき出張所　健康介護課保健衛生係,0120-26-5671,970-1144,大熊町役場いわき出張所2階,,20160824,,9：30～11：30
3567,いわき市,イベント情報,,左義長,,36.91153537,140.83463,　左義長は、孟宗竹にくくりつけた藁を燃やす盆送り行事です。昭和59年を最後に途絶えている行事を復活させます。,小浜・岩間地区復興対策協議会事務局:0246-63-2111,,小浜海岸(いわき市小浜町渚),,,平成28年８月16日（火）,盆踊り：19時～<br>左義長：20時～
3568,大熊町,イベント情報,,こころの元気を育てる講座in福島市,,37.76319578,140.4640031,内　　容：布絵づくり～描とう、こころの風景～<br>開催場所：福島市保健福祉センター4階保健指導室(福島市森合町10-1)<br>定　　員：20人<br>費　　用：300円<br>持 ち 物：はさみ<br>申込方法：電話にて<br>申込期限：8月26日(金)まで<br>問 合 せ：大熊町役場会津若松出張所　福祉課健康介護係,,,福島市森合町l 0- 1,,20160902,,10:00～12:00
3570,いわき市,イベント情報,,仮装盆踊り＆花火大会,,37.01028115,140.8454898,　いわき湯本温泉では、予てより毎年8月の盆の時期に各地区の青年会が工夫を凝らした仮装をして集まり、祖先を偲びながら踊り明かしておりました。現在は一般の応募者（団体）による趣向を凝らした仮装が繰り広げられます。,いわき湯本温泉観光協会:0246-42-4322,,温泉通り(いわき市常磐湯本町三函),,,平成28年８月17日（水）,18時～20時30分
3571,いわき市,イベント情報,,ビーチフラッグフットボール体験会,,37.10431853,140.9922212,　フラッグフットボールの普及活動の一環として、海・ビーチという自然の中で同体験会を開催します。<br>　※参加者は要申込み,,,四倉海岸(いわき市四倉町),,,平成28年８月20日（土）,９時～13時
3572,大熊町,イベント情報,,大熊町長杯パークゴルフ大会,,37.64908295,139.9551344,"内　　容：町民の健康維持と愛好者相互の交流、復興の活力となる事を目的として開催する<br>主　　催：大熊町・大熊町教育委員会<br>開催場所：「北塩原グランデコリゾート」パークゴルフ場<br>対　　象：大熊町パークゴルフ愛好者<br>表　　彰：男女別、優勝から3位賞状賞品、4,5位賞品、特別賞他<br>費　　用：1,500円(ﾌﾟﾚｰ費、昼食費、傷害保険料等)受付時納入<br>持ち物①：野外スポーツにふさわしい着衣、底の平らな運動靴<br>持ち物②：用具(クラブ、ボール)等は、各自持参<br>申込期限：8月17日(水)午後5時まで<br>申込み①：教育総務課 TEL 0120-26-3844 FAX 0242-26-3786<br>申込み②：いわき出張所 TEL 0120-26-5671<br>申込み③：中通り連絡事務所 TEL 0120-24-1013<br>問 合 せ：大熊町役場会津若松出張所 教育総務課<br>",,,,,20160827,,受付8：30<br>開会式8：40<br>競技始9：00<br>閉会式13：00<br>(小雨決行)
3573,いわき市,イベント情報,,アートミーティング　クロージングセレモニー,,36.94507506,140.6540545,映画上映、ダンス等のパフォーマンス、作家によるトークセッション、地元保存会による三匹獅子舞の披露などが行われます。,田人地域振興協議会事務局(田人支所):0246-69-2111,,田人二小(いわき市田人町旅人字和再松木平４),,,平成28年８月20日（土）,13時～18時
3574,いわき市,イベント情報,,夏井川流灯花火大会,,37.05736369,140.9041429,水難事故で亡くなった児童、夏井川に関する工事などの犠牲者の方々の霊を供養したことが始まりとされているこのお祭りは、90年以上続く伝統のお祭りです。<br>,夏井川流灯花火大会実行委員会:090-7791-0201,,夏井川河川敷(いわき市平鎌田町),,,平成28年８月20日(土),流灯：18時～20時30分<br>花火：19時45分～20時30分
3575,いわき市,イベント情報,,不動尊祭典（田人町黒田不動尊）,,36.96854977,140.7042669,棒術、獅子舞、念仏太鼓を奉納します。,上黒田区長 松原様:0246-69-2443,,別当不動尊及び満照寺境内(いわき市田人町黒田別当50),,,平成28年８月27日（土）,17時～
3576,いわき市,イベント情報,,薬師尊祭典,,36.95179246,140.6997586,　五穀豊穣と区民の無病息災を願い、三匹獅子舞、棒術、念仏太鼓を奉納します。,出旅人区長 油座様:0246-69-2459,,旅人薬師尊境内(いわき市田人町旅人上平石69),,,平成28年８月27日（土）,18時～
3577,いわき市,イベント情報,,成田山盆踊り大会,,37.0118314,140.8453927,盆踊り、出店など。,いわき湯本温泉観光協会:0246-42-4322）,,成田山境内(いわき市常磐湯本町三函303),,,平成28年８月27日（土）,18時30分～21時
3578,いわき市,イベント情報,,サウンドイルミネーション,,37.10752199,140.9931561,イルミネーションの点灯に合わせて、ステージでフラダンスチームのイベントも開催します。（19：30～20：00）,サウンドイルミネーション実行委員会事務局:0246-88-1703,,道の駅よつくら港(いわき市四倉町５丁目),,,平成28年８月27日（土）～28日（日）,19時～21時
3579,いわき市,イベント情報,,生きいき交流区民盆踊り大会,,37.10111895,140.7765752,盆踊り、出店など。,合戸区長 合津様:0246-87-2036,,密蔵院光福寺(いわき市三和町合戸字内畑35),,,平成28年８月27日（土）,19時～
3580,いわき市,イベント情報,,元気祭り,,37.1406082,140.6881382,毎月、テーマを決めて実施している三和町ふれあい市場のイベント。様々な特典を準備しております。,三和町ふれあい市場:0246-97-3566,,三和町ふれあい広場(いわき市三和町下市萱竹ノ内210),,,平成28年８月28日（日）,イベント：９時30分～12時<br>営業時間：９時～17時30分
3581,いわき市,イベント情報,,閼伽井嶽常福寺　夏大祭「柴燈大護摩」宵祭り,,37.09519453,140.8105152,　多宝塔にて抹茶による接待が行われ、日没近くには参道にろうそくの明かりを灯す「万燈会」とじゃんがら念仏踊が披露されます。,赤井嶽薬師常福寺:0246-36-2161,,閼伽井嶽常福寺(いわき市平赤井字赤井岳1),,,,
3583,いわき市,イベント情報,,アートミーティング　田人の森に遊ぶ　2016展,,36.94515258,140.6534061,　田人町内をキャンバスに見立てた地域回遊型の野外美術展覧会を開催します。,田人地域振興協議会事務局(田人支所):0246-69-2111,,旧田人第二小学校、南大平分校、他田人町内,,,平成28年７月30日（土）～８月20日（土）,９時～17時
3585,いわき市,イベント情報,,アートミーティング　パフォーマンス＆ワークショップ,,36.94495399,140.6543097,ダンス等のパフォーマーによるパフォーマンスとワークショップなどを開催します。,田人地域振興協議会事務局(田人支所):0246-69-2111,,旧田人第二小学校など,,,平成28年８月６日（土）13時～17時<br>　　　　８月13日（土）11時～、14時～、16時30分～<br>　　　　８月14日（日）11時～17時,
9999,郡山市,イベント情報,個人イベント,路上ライブ,,37.398300,140.387812,,,,,20161112,2016年11月12日　1時間,
